profileId,title,competencies,hasGrowWithSap,consultants,description
0000025940,NTT DATA,10,1,3919,Leading the Path for Innovation and Transformation with SAP
0001250451,Deloitte,10,1,7828,How can you navigate relentless disruption and future uncertainty?
0000828182,Accenture,9,1,5786,360° value is at the heart of our business
0000517767,PricewaterhouseCoopers (PwC),10,1,4231,Drive results and deliver better business outcomes with PwC and SAP
0000225382,SEIDOR,10,1,1072,Humanizing Technology
0000177545,delaware,10,1,706,We are a global company delivering advanced ICT solutions and services
0001153600,EPI-USE,3,0,1238,"Global SAP, SuccessFactors, Workforce Management & S/4HANA Specialist"
0001345125,EY,9,0,2451,EY and SAP can help your organization generate long-term value faster
0000581717,International Business Machines (IBM),9,0,4283,"IBM is the trusted, full-spectrum partner for complete SAP solutions"
0000035218,All for One Group SE,10,1,468,"SAP, process & digitization consulting in the midmarket. 3500 clients."
0001385020,HR Path,2,0,413,"HR Path, a global HR leader and your SAP SuccessFactors Partner"
0000630761,Capgemini,9,1,3240,"Get The Future You Want. 
Learn how we can help your business."
0000692489,Avvale,9,1,743,"Avvale, Enabling what's next"
0000726560,STRATESYS TECHNOLOGY SOLUTIONS S.L.,8,1,517,"Knowledge, Innovation, Specialization & Quality"
0000630888,valantic GmbH,9,0,328,valantic: digital transformation from strategy to realization
0000869089,"Rizing, a Wipro Company",5,1,697,SAP Expert Level Competencies and In-Depth Industry Expertise
0000839490,Minsait,8,0,972,We promote the transformation of business and society 
0000524233,ABeam Consulting Ltd.,9,0,2520,ABeam Consulting Ltd. - Real Partner - Real Value
0000830977,Reply,8,0,305,Reply Living Network 
0000031049,KPMG,9,0,1397,KPMG helps transform your business with confidence.
0000707399,Syntax Systems Limited,8,1,315,"Navigate Your Digital Transformation Journey, Wherever You Are"
0000757339,apsolut,2,0,121,FOCUSED ON PROCUREMENT INNOVATION
0000518583,Horsa Run,5,1,92,The system integrator that meets your business needs
0001423836,Veritas Prime,2,0,274,Experts in Human Experience Management (HXM) technology
0000034867,T-Systems International GmbH,6,0,783,T-Systems International GmbH
0001377841,Effective People,2,0,254,We Deliver Sustainable Success
0000412468,Inetum,7,1,1033,"Inetum is a top SAP partner, with a strong focus on Cloud solutions."
0000031581,Strada,4,0,546,Strada. Forward as one.
0000749928,AGILITA,7,1,154,AGILITA - The SAP Cloud Powerhouse in Switzerland & Germany
0001364040,SNP Schneider-Neureither & Partner SE,3,0,230,Automated SAP Transformation with SNP's CrystalBridge®
0000713629,Infosys Limited,8,0,1370,Live Enterprise with SAP RISE
0000038766,DXC Technology Services,10,0,5872,"Simplify IT, modernize applications, accelerate processes with DXC SAP"
0001375812,Al-Watania Information Systems,6,0,201,A First-Class Local SAP Partner who can deliver a value.
0000250348,MHP Management- und IT-Beratung GmbH,8,1,550,"Enabling You To Shape A Better Tomorrow!
"
0000710342,Flexso,7,0,233,Strategic end-to-end SAP Gold partner for digital transformation.
0000774994,Nagarro,5,1,469,The Intelligent Enterprise is our Business.
0000250187,Derga Consulting S.p.A.,5,1,111,Derga Consulting: il partner per la Digital Transformation
